"atributo","nome","valor","protocolo","servico","tipo","campoRelacionado"
"number","Número","802","2021.2-77.741","Aquisição Item Tecnologia","STRING","null"
"complement","Complemento","","2021.2-77.741","Aquisição Item Tecnologia","STRING","null"
"observacoes","Observações","teste","2021.2-77.741","Aquisição Item Tecnologia","STRING","null"
"street","Logradouro","R. Vitorino Carmilo","2021.2-32.740","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Barra Funda","2021.2-32.740","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.740","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.740","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.740","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.740","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01153000","2021.2-32.740","Poda / Corte de Árvore","STRING","null"
"email","email","liviaxavier.co@gmail.com","2021.2-32.740","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.740","Poda / Corte de Árvore","ID","null"
"number","Número","111","2021.2-32.740","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.739","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.739","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.739","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.739","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.739","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.739","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.739","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.739","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.739","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.739","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.738","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.738","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.738","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.738","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.738","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.738","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.738","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.738","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.738","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.738","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.737","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.737","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.737","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.737","Poda / Corte de Árvore","STRING","null"
"name","Nome","Renato","2021.2-32.737","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Aragão","2021.2-32.737","Poda / Corte de Árvore","STRING","null"
"cpf","Cpf","222.222.222-22","2021.2-32.737","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.737","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.737","Poda / Corte de Árvore","ID","null"
"zipcode","CEP","01141-000","2021.2-32.737","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.736","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.736","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.736","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.736","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.736","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.736","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.736","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.736","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.736","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.736","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.735","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.735","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.735","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.735","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.735","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.735","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.735","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.735","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.735","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.735","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.734","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.734","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.734","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.734","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.734","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.734","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.734","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.734","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.734","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.734","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.733","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.733","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.733","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.733","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.733","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.733","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.733","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.733","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.733","Poda / Corte de Árvore","ID","null"
"number","Número","1","2021.2-32.733","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.732","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.732","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.732","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.732","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.732","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.732","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.732","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.732","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","222.222.222-22","2021.2-32.732","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.732","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.731","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.731","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.731","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.731","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.731","Poda / Corte de Árvore","ID","null"
"name","Nome","Livia","2021.2-32.731","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.731","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.731","Poda / Corte de Árvore","STRING","null"
"cpf","Cpf","222.222.222-22","2021.2-32.731","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.731","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.730","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.730","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.730","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.730","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.730","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.730","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.730","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.730","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","222.222.222-22","2021.2-32.730","Poda / Corte de Árvore","ID","null"
"number","Número","9","2021.2-32.730","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.729","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.729","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.729","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.729","Poda / Corte de Árvore","STRING","null"
"name","Nome","livia","2021.2-32.729","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","livia","2021.2-32.729","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.729","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.729","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.729","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.729","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.728","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.728","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.728","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.728","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.728","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.728","Poda / Corte de Árvore","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.728","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.728","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.728","Poda / Corte de Árvore","ID","null"
"number","Número","123","2021.2-32.728","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-67.727","Material de escritório","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-67.727","Material de escritório","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-67.727","Material de escritório","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-67.727","Material de escritório","ID","null"
"item","Item","Lápis","2021.2-67.727","Material de escritório","STRING","null"
"quantidade","Quantidade","99","2021.2-67.727","Material de escritório","INTEGER","descricaoDoItem"
"possuiEstoque","Possui estoque?","true","2021.2-67.727","Material de escritório","BOOLEAN","null"
"possuiNotaFiscal","Possui nota fiscal?","false","2021.2-67.727","Material de escritório","BOOLEAN","null"
"name","Nome","Livia","2021.2-67.726","Material de escritório","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-67.726","Material de escritório","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-67.726","Material de escritório","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-67.726","Material de escritório","ID","null"
"item","Item","Lápis","2021.2-67.726","Material de escritório","STRING","null"
"possuiEstoque","Possui estoque?","true","2021.2-67.726","Material de escritório","BOOLEAN","null"
"quantidade","Quantidade","55","2021.2-67.726","Material de escritório","INTEGER","descricaoDoItem"
"name","Nome","Livia","2021.2-67.725","Material de escritório","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-67.725","Material de escritório","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-67.725","Material de escritório","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-67.725","Material de escritório","ID","null"
"item","Item","Caneta","2021.2-67.725","Material de escritório","STRING","null"
"quantidade","Quantidade","123","2021.2-67.725","Material de escritório","INTEGER","descricaoDoItem"
"possuiEstoque","Possui estoque?","true","2021.2-67.725","Material de escritório","BOOLEAN","null"
"cnpj","Cnpj","99.999.999/9999-99","2021.2-32.724","ALPAR - Licenciamento Ambiental","ID","null"
"nomeFantasia","Nome Fantasia","ACME","2021.2-32.724","ALPAR - Licenciamento Ambiental","STRING","null"
"razaoSocial","Razão Social","ACME","2021.2-32.724","ALPAR - Licenciamento Ambiental","STRING","null"
"number","Número","123","2021.2-32.724","ALPAR - Licenciamento Ambiental","STRING","null"
"zipcode","CEP","01141-000","2021.2-32.724","ALPAR - Licenciamento Ambiental","STRING","null"
"email","email","email@email.com","2021.2-32.724","ALPAR - Licenciamento Ambiental","ID","null"
"street","Logradouro","-","2021.2-32.724","ALPAR - Licenciamento Ambiental","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.724","ALPAR - Licenciamento Ambiental","STRING","null"
"city","Cidade","São Paulo","2021.2-32.724","ALPAR - Licenciamento Ambiental","STRING","null"
"state","Estado","SP","2021.2-32.724","ALPAR - Licenciamento Ambiental","STRING","null"
"street","Logradouro","-","2021.2-68.723","Vacinação COVID","STRING","null"
"neighborhood","Bairro","Jardim Renascença","2021.2-68.723","Vacinação COVID","STRING","null"
"city","Cidade","São Luís","2021.2-68.723","Vacinação COVID","STRING","null"
"state","Estado","MA","2021.2-68.723","Vacinação COVID","STRING","null"
"name","Nome","livia","2021.2-68.723","Vacinação COVID","STRING","null"
"lastname","Sobrenome","xavier","2021.2-68.723","Vacinação COVID","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-68.723","Vacinação COVID","ID","null"
"zipcode","CEP","65071-393","2021.2-68.723","Vacinação COVID","STRING","null"
"number","Número","123","2021.2-68.723","Vacinação COVID","STRING","null"
"complement","Complemento","1","2021.2-68.723","Vacinação COVID","STRING","null"
"name","Nome","Livia","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-32.722","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-32.722","Poda / Corte de Árvore","ID","null"
"zipcode","CEP","02343-000","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","R. Dr. Henrique Meyer","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Vila Cachoeira","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"number","Número","123","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"complement","Complemento","1","2021.2-32.722","Poda / Corte de Árvore","STRING","null"
"phone","Telefone","11 99405-1760","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"email","email","wellingtonog@gmail.com","2021.2-32.721","Poda / Corte de Árvore","ID","null"
"zipcode","CEP","13304-000","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","R. Ten. Olávo de Assis","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Jardim Rosinha","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"city","Cidade","Itu","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"number","Número","609","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"name","Nome","wellington","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","teste","2021.2-32.721","Poda / Corte de Árvore","STRING","null"
"cpf","Cpf","317.375.178-76","2021.2-32.721","Poda / Corte de Árvore","ID","null"
"origemDoServidor","Origem do servidor","Outra pasta","2021.2-44.720","Nomeação","STRING","null"
"orgaoDeNomeacao","Órgão de nomeação","sedes","2021.2-44.720","Nomeação","STRING","null"
"cargoDeNomeacao","Cargo de nomeação","consultor","2021.2-44.720","Nomeação","STRING","null"
"nomeCompletoDoNomeado","Nome completo do nomeado","cristhiane machado","2021.2-44.720","Nomeação","STRING","null"
"rG","RG","1456604","2021.2-44.720","Nomeação","STRING","null"
"cPF","CPF","74155458187","2021.2-44.720","Nomeação","INTEGER","null"
"tipoDeNomeacao","Tipo de nomeação","Comissão","2021.2-44.720","Nomeação","STRING","null"
"subordinacao","Subordinação","sedes","2021.2-44.720","Nomeação","STRING","null"
"origemDoServidor","Origem do servidor","Outra","2021.2-44.719","Nomeação","STRING","null"
"orgaoDeNomeacao","Órgão de nomeação","sedes","2021.2-44.719","Nomeação","STRING","null"
"cargoDeNomeacao","Cargo de nomeação","consultor","2021.2-44.719","Nomeação","STRING","null"
"nomeCompletoDoNomeado","Nome completo do nomeado","cristhiane machado","2021.2-44.719","Nomeação","STRING","null"
"rG","RG","1456604","2021.2-44.719","Nomeação","STRING","null"
"cPF","CPF","74155458187","2021.2-44.719","Nomeação","INTEGER","null"
"tipoDeNomeacao","Tipo de nomeação","Comissão","2021.2-44.719","Nomeação","STRING","null"
"subordinacao","Subordinação","sedes","2021.2-44.719","Nomeação","STRING","null"
"orgaoDeNomeacao","Órgão de nomeação","dfdf","2021.2-66.718","Nomeação","STRING","null"
"nomeCompletoDoNomeado","Nome completo do nomeado","df","2021.2-66.718","Nomeação","STRING","null"
"rG","RG","dfa","2021.2-66.718","Nomeação","STRING","null"
"cPF","CPF","dfs","2021.2-66.718","Nomeação","INTEGER","null"
"subordinacao","Subordinação","sedes","2021.2-66.718","Nomeação","STRING","null"
"origemDoServidor","Origem do servidor","Concurso","2021.2-66.718","Nomeação","STRING","null"
"cargoDeNomeacao","Cargo de nomeação","consultor","2021.2-66.718","Nomeação","STRING","null"
"origemDoServidor","Origem do servidor","Outra","2021.2-44.717","Nomeação","STRING","null"
"orgaoDeNomeacao","Órgão de nomeação","sedes","2021.2-44.717","Nomeação","STRING","null"
"cargoDeNomeacao","Cargo de nomeação","consultor","2021.2-44.717","Nomeação","STRING","null"
"nomeCompletoDoNomeado","Nome completo do nomeado","cristhiane machado","2021.2-44.717","Nomeação","STRING","null"
"rG","RG","1456604","2021.2-44.717","Nomeação","STRING","null"
"cPF","CPF","74155458187","2021.2-44.717","Nomeação","INTEGER","null"
"tipoDeNomeacao","Tipo de nomeação","Comissão","2021.2-44.717","Nomeação","STRING","null"
"subordinacao","Subordinação","sedes","2021.2-44.717","Nomeação","STRING","null"
"origemDoServidor","Origem do servidor","Mesma pasta","2021.2-44.716","Nomeação","STRING","null"
"orgaoDeNomeacao","Órgão de nomeação","sedes","2021.2-44.716","Nomeação","STRING","null"
"cargoDeNomeacao","Cargo de nomeação","consultor","2021.2-44.716","Nomeação","STRING","null"
"nomeCompletoDoNomeado","Nome completo do nomeado","cristhiane machado","2021.2-44.716","Nomeação","STRING","null"
"rG","RG","1456604","2021.2-44.716","Nomeação","STRING","null"
"cPF","CPF","74155458187","2021.2-44.716","Nomeação","INTEGER","null"
"tipoDeNomeacao","Tipo de nomeação","Cargo","2021.2-44.716","Nomeação","STRING","null"
"subordinacao","Subordinação","sedes","2021.2-44.716","Nomeação","STRING","null"
"origemDoServidor","Origem do servidor","Concurso","2021.2-44.715","Nomeação","STRING","null"
"orgaoDeNomeacao","Órgão de nomeação","sedes","2021.2-44.715","Nomeação","STRING","null"
"cargoDeNomeacao","Cargo de nomeação","consultor","2021.2-44.715","Nomeação","STRING","null"
"nomeCompletoDoNomeado","Nome completo do nomeado","Cristhiane Machado","2021.2-44.715","Nomeação","STRING","null"
"rG","RG","1456604","2021.2-44.715","Nomeação","STRING","null"
"cPF","CPF","74155458187","2021.2-44.715","Nomeação","INTEGER","null"
"tipoDeNomeacao","Tipo de nomeação","Comissão","2021.2-44.715","Nomeação","STRING","null"
"subordinacao","Subordinação","sedes","2021.2-44.715","Nomeação","STRING","null"
"street","Logradouro","-","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","República","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"name","Nome","cristhiane","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","machado","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"cpf","Cpf","741.554.581-87","2021.2-32.714","Poda / Corte de Árvore","ID","null"
"zipcode","CEP","01036-100","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"number","Número","802","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"complement","Complemento","","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"phone","Telefone","95 12106-60","2021.2-32.714","Poda / Corte de Árvore","STRING","null"
"email","email","cristhiane.machado@alparservice.com.br","2021.2-32.714","Poda / Corte de Árvore","ID","null"
"street","Logradouro","-","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","República","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"name","Nome","cristhiane","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","machado","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"cpf","Cpf","741.554.581-87","2021.2-32.713","Poda / Corte de Árvore","ID","null"
"zipcode","CEP","01036-100","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"number","Número","802","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"phone","Telefone","11 95151-2020","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"email","email","cristhiane.machado@alparservice.com.br","2021.2-32.713","Poda / Corte de Árvore","ID","null"
"complement","Complemento","84","2021.2-32.713","Poda / Corte de Árvore","STRING","null"
"street","Logradouro","-","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","República","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"name","Nome","Cristhiane","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Machado","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"cpf","Cpf","741.554.581-87","2021.2-32.712","Poda / Corte de Árvore","ID","null"
"zipcode","CEP","01036-100","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"number","Número","802","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"complement","Complemento","84","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"phone","Telefone","11 95121-0660","2021.2-32.712","Poda / Corte de Árvore","STRING","null"
"email","email","cristhiane.machado@alparservice.com.br","2021.2-32.712","Poda / Corte de Árvore","ID","null"
"street","Logradouro","-","2021.2-62.711","Nomeação","STRING","null"
"neighborhood","Bairro","Consolação","2021.2-62.711","Nomeação","STRING","null"
"city","Cidade","São Paulo","2021.2-62.711","Nomeação","STRING","null"
"state","Estado","SP","2021.2-62.711","Nomeação","STRING","null"
"origemDoServidor","Origem do servidor","Outra pasta","2021.2-62.711","Nomeação","STRING","null"
"zipcode","CEP","01303-040","2021.2-62.711","Nomeação","STRING","null"
"nome","Nome","cristhiane gregorio machado","2021.2-62.711","Nomeação","STRING","null"
"number","Número","802","2021.2-62.711","Nomeação","STRING","null"
"complement","Complemento","","2021.2-62.711","Nomeação","STRING","null"
"orgao","Órgão","teste","2021.2-62.711","Nomeação","STRING","null"
"cargo","Cargo","teste","2021.2-62.711","Nomeação","STRING","null"
"tipo","Tipo","Cargo","2021.2-62.711","Nomeação","STRING","null"
"name","Nome","Livia","2021.2-67.710","Material de escritório","STRING","null"
"lastname","Sobrenome","Xavier","2021.2-67.710","Material de escritório","STRING","null"
"email","email","livia.xavier@alpar.com.br","2021.2-67.710","Material de escritório","ID","null"
"cpf","Cpf","111.111.111-11","2021.2-67.710","Material de escritório","ID","null"
"item","Item","Caneta","2021.2-67.710","Material de escritório","STRING","null"
"quantidade","Quantidade","100","2021.2-67.710","Material de escritório","INTEGER","descricaoDoItem"
"item","Item","Caneta","2021.2-63.709","Material de escritório","STRING","null"
"quantidade","Quantidade","99","2021.2-63.709","Material de escritório","INTEGER","descricaoDoItem"
"origemDoServidor","Origem do servidor","Outra","2021.2-66.708","Nomeação","STRING","null"
"orgaoDeNomeacao","Órgão de nomeação","secretaria do verde e meio ambiente","2021.2-66.708","Nomeação","STRING","null"
"nomeCompletoDoNomeado","Nome completo do nomeado","maria da silva","2021.2-66.708","Nomeação","STRING","null"
"rG","RG","123123123123123123","2021.2-66.708","Nomeação","STRING","null"
"tipoDeNomeacao","Tipo de nomeação","Cargo","2021.2-66.708","Nomeação","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-61.707","Poda/Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-61.707","Poda/Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-61.707","Poda/Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-61.707","Poda/Corte de Árvore","STRING","null"
"nome","Nome","livia","2021.2-61.707","Poda/Corte de Árvore","STRING","null"
"name","Nome","livia","2021.2-61.707","Poda/Corte de Árvore","STRING","null"
"lastname","Sobrenome","xavier","2021.2-61.707","Poda/Corte de Árvore","STRING","null"
"cpf","Cpf","111.111.111-11","2021.2-61.707","Poda/Corte de Árvore","ID","null"
"number","Número","123","2021.2-61.707","Poda/Corte de Árvore","STRING","null"
"street","Logradouro","Rua Dr. Rubens Meireles","2021.2-32.706","Poda / Corte de Árvore","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2021.2-32.706","Poda / Corte de Árvore","STRING","null"
"city","Cidade","São Paulo","2021.2-32.706","Poda / Corte de Árvore","STRING","null"
"state","Estado","SP","2021.2-32.706","Poda / Corte de Árvore","STRING","null"
"name","Nome","Livia","2021.2-32.706","Poda / Corte de Árvore","STRING","null"
