atributo,nome,valor,protocolo,servico,tipo
razaoSocial,Razão Social,,2020.7-34.563,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.563,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.562,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.562,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.562,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.562,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.562,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.562,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.562,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.561,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.561,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.561,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.561,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.561,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.561,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.561,Licenciamento Ambiental,STRING
zipcode,CEP,01154-000,2020.7-34.560,Licenciamento Ambiental,STRING
street,Logradouro,Av. Gen. Olímpio da Silveira,2020.7-34.560,Licenciamento Ambiental,STRING
neighborhood,Bairro,Santa Cecilia,2020.7-34.560,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.560,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.560,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.560,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.560,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.559,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.559,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.559,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.559,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.559,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.559,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.559,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.558,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.558,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.558,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.558,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.558,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.558,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.558,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.557,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.557,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.557,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.557,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.557,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.557,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.557,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.556,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.556,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.556,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.556,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.556,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.556,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.556,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.555,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.555,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.555,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.555,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.555,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.555,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.555,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.554,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.554,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.554,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.554,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.554,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.554,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.554,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.553,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.553,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.553,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.553,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.553,Licenciamento Ambiental,STRING
cnpj,CNPJ,12312312,2020.7-34.553,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.553,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.552,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.552,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.552,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.552,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.552,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.552,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.552,Licenciamento Ambiental,STRING
zipcode,CEP,01152-000,2020.7-34.551,Licenciamento Ambiental,STRING
street,Logradouro,R. Barra Funda,2020.7-34.551,Licenciamento Ambiental,STRING
neighborhood,Bairro,Barra Funda,2020.7-34.551,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.551,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.551,Licenciamento Ambiental,STRING
cnpj,CNPJ,12312312,2020.7-34.551,Licenciamento Ambiental,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-34.551,Licenciamento Ambiental,STRING
zipcode,CEP,01154-000,2020.7-34.550,Licenciamento Ambiental,STRING
street,Logradouro,Av. Gen. Olímpio da Silveira,2020.7-34.550,Licenciamento Ambiental,STRING
neighborhood,Bairro,Santa Cecilia,2020.7-34.550,Licenciamento Ambiental,STRING
city,Cidade,São Paulo,2020.7-34.550,Licenciamento Ambiental,STRING
state,Estado,SP,2020.7-34.550,Licenciamento Ambiental,STRING
cnpj,CNPJ,123,2020.7-34.550,Licenciamento Ambiental,STRING
name,Nome,Fernando,2020.7-32.549,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Jobim,2020.7-32.549,Poda / Corte de Árvore,STRING
cpf,CPF,186.302.308-94,2020.7-32.549,Poda / Corte de Árvore,STRING
phone,Telefone,1996066980,2020.7-32.549,Poda / Corte de Árvore,STRING
email,Email,fernando.jobim@alparservice.com.br,2020.7-32.549,Poda / Corte de Árvore,STRING
zipcode,CEP,65110-000,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
street,Logradouro,-,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,-,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-55.548,Situação de Assistência Social do Municipio,BOOLEAN
possuiEspacoFisicoAdequado,Possui espaço Físico Adequado,true,2020.7-55.548,Situação de Assistência Social do Municipio,BOOLEAN
possuiRecursosHumanosSuficientesConformeNOBRH,Possui Recursos Humanos suficientes conforme NOB/RH,true,2020.7-55.548,Situação de Assistência Social do Municipio,BOOLEAN
possuiVeiculoParaRealizacaoDasAtividades,Possui veículo para realização das atividades,true,2020.7-55.548,Situação de Assistência Social do Municipio,BOOLEAN
possuiPlanoMunicipalDeAssistenciaSocial,Possui Plano Municipal de Assistência Social,true,2020.7-55.548,Situação de Assistência Social do Municipio,BOOLEAN
existeSetorEspecifico,Existe setor específico,true,2020.7-55.548,Situação de Assistência Social do Municipio,BOOLEAN
qualALocalizacao,Qual a localização,CRAS,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
tipoDeGestaoEConcessaoDosBeneficios,Tipo de gestão e concessão dos Benefícios,compartilhada,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoIdosos,Quantidade de Usuários do BPC inscritos no CadÚnico Idosos,0,2020.7-55.548,Situação de Assistência Social do Municipio,INTEGER
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoPCD,Quantidade de Usuários do BPC inscritos no CadÚnico PCD,0,2020.7-55.548,Situação de Assistência Social do Municipio,INTEGER
quantosFaltamDeAcordoComOsDadosDoCadUnicoEIBGE,"Quantos faltam, de acordo com os dados do CadUnico e IBGE",2,2020.7-55.548,Situação de Assistência Social do Municipio,INTEGER
bPCNaEscola,BPC na Escola,Renovação,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
phone,Telefone,1996066980,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
email,Email,fernando.jobim@alparservice.com.br,2020.7-55.548,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,65110-000,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
street,Logradouro,-,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,-,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-55.547,Situação de Assistência Social do Municipio,BOOLEAN
possuiEspacoFisicoAdequado,Possui espaço Físico Adequado,true,2020.7-55.547,Situação de Assistência Social do Municipio,BOOLEAN
possuiRecursosHumanosSuficientesConformeNOBRH,Possui Recursos Humanos suficientes conforme NOB/RH,true,2020.7-55.547,Situação de Assistência Social do Municipio,BOOLEAN
possuiVeiculoParaRealizacaoDasAtividades,Possui veículo para realização das atividades,true,2020.7-55.547,Situação de Assistência Social do Municipio,BOOLEAN
possuiPlanoMunicipalDeAssistenciaSocial,Possui Plano Municipal de Assistência Social,true,2020.7-55.547,Situação de Assistência Social do Municipio,BOOLEAN
realizouCapacitacoesComRecursosPropriosNos2UltimosAnos,Realizou capacitações com recursos próprios nos 2 últimos anos,true,2020.7-55.547,Situação de Assistência Social do Municipio,BOOLEAN
existeSetorEspecifico,Existe setor específico,true,2020.7-55.547,Situação de Assistência Social do Municipio,BOOLEAN
qualALocalizacao,Qual a localização,CRAS,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
tipoDeGestaoEConcessaoDosBeneficios,Tipo de gestão e concessão dos Benefícios,compartilhada,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoIdosos,Quantidade de Usuários do BPC inscritos no CadÚnico Idosos,0,2020.7-55.547,Situação de Assistência Social do Municipio,INTEGER
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoPCD,Quantidade de Usuários do BPC inscritos no CadÚnico PCD,0,2020.7-55.547,Situação de Assistência Social do Municipio,INTEGER
quantosFaltamDeAcordoComOsDadosDoCadUnicoEIBGE,"Quantos faltam, de acordo com os dados do CadUnico e IBGE",2,2020.7-55.547,Situação de Assistência Social do Municipio,INTEGER
bPCNaEscola,BPC na Escola,Renovação,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
phone,Telefone,1996066980,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
email,Email,fernando.jobim@alparservice.com.br,2020.7-55.547,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,65110-000,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
street,Logradouro,-,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,-,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-55.546,Situação de Assistência Social do Municipio,BOOLEAN
possuiEspacoFisicoAdequado,Possui espaço Físico Adequado,true,2020.7-55.546,Situação de Assistência Social do Municipio,BOOLEAN
possuiRecursosHumanosSuficientesConformeNOBRH,Possui Recursos Humanos suficientes conforme NOB/RH,true,2020.7-55.546,Situação de Assistência Social do Municipio,BOOLEAN
possuiVeiculoParaRealizacaoDasAtividades,Possui veículo para realização das atividades,true,2020.7-55.546,Situação de Assistência Social do Municipio,BOOLEAN
possuiPlanoMunicipalDeAssistenciaSocial,Possui Plano Municipal de Assistência Social,true,2020.7-55.546,Situação de Assistência Social do Municipio,BOOLEAN
realizouCapacitacoesComRecursosPropriosNos2UltimosAnos,Realizou capacitações com recursos próprios nos 2 últimos anos,true,2020.7-55.546,Situação de Assistência Social do Municipio,BOOLEAN
existeSetorEspecifico,Existe setor específico,true,2020.7-55.546,Situação de Assistência Social do Municipio,BOOLEAN
qualALocalizacao,Qual a localização,CRAS,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
tipoDeGestaoEConcessaoDosBeneficios,Tipo de gestão e concessão dos Benefícios,compartilhada,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoIdosos,Quantidade de Usuários do BPC inscritos no CadÚnico Idosos,0,2020.7-55.546,Situação de Assistência Social do Municipio,INTEGER
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoPCD,Quantidade de Usuários do BPC inscritos no CadÚnico PCD,0,2020.7-55.546,Situação de Assistência Social do Municipio,INTEGER
quantosFaltamDeAcordoComOsDadosDoCadUnicoEIBGE,"Quantos faltam, de acordo com os dados do CadUnico e IBGE",2,2020.7-55.546,Situação de Assistência Social do Municipio,INTEGER
bPCNaEscola,BPC na Escola,Renovação,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
phone,Telefone,119960680,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
email,Email,fernando.jobim@alparservice.com.br,2020.7-55.546,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,65110-000,2020.7-55.545,Situação de Assistência Social do Municipio,STRING
street,Logradouro,-,2020.7-55.545,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,-,2020.7-55.545,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.545,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.545,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-55.545,Situação de Assistência Social do Municipio,BOOLEAN
email,Email,livia.xavier@alpar.com.br,2020.7-55.545,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,65110-000,2020.7-55.544,Situação de Assistência Social do Municipio,STRING
street,Logradouro,-,2020.7-55.544,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,-,2020.7-55.544,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.544,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.544,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-55.544,Situação de Assistência Social do Municipio,BOOLEAN
email,Email,livia.xavier@alpar.com.br,2020.7-55.544,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,65110-000,2020.7-55.543,Situação de Assistência Social do Municipio,STRING
street,Logradouro,-,2020.7-55.543,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,-,2020.7-55.543,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.543,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.543,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,false,2020.7-55.543,Situação de Assistência Social do Municipio,BOOLEAN
zipcode,CEP,01151-010,2020.7-55.542,Situação de Assistência Social do Municipio,STRING
street,Logradouro,-,2020.7-55.542,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,Santa Cecilia,2020.7-55.542,Situação de Assistência Social do Municipio,STRING
city,Cidade,São Paulo,2020.7-55.542,Situação de Assistência Social do Municipio,STRING
state,Estado,SP,2020.7-55.542,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,65110-000,2020.7-55.541,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.541,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.541,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-55.541,Situação de Assistência Social do Municipio,BOOLEAN
possuiEspacoFisicoAdequado,Possui espaço Físico Adequado,true,2020.7-55.541,Situação de Assistência Social do Municipio,BOOLEAN
possuiRecursosHumanosSuficientesConformeNOBRH,Possui Recursos Humanos suficientes conforme NOB/RH,true,2020.7-55.541,Situação de Assistência Social do Municipio,BOOLEAN
tipoDeGestaoEConcessaoDosBeneficios,Tipo de gestão e concessão dos Benefícios,compartilhada,2020.7-55.541,Situação de Assistência Social do Municipio,STRING
qualALocalizacao,Qual a localização,CRAS,2020.7-55.541,Situação de Assistência Social do Municipio,STRING
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoIdosos,Quantidade de Usuários do BPC inscritos no CadÚnico Idosos,0,2020.7-55.541,Situação de Assistência Social do Municipio,INTEGER
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoPCD,Quantidade de Usuários do BPC inscritos no CadÚnico PCD,0,2020.7-55.541,Situação de Assistência Social do Municipio,INTEGER
quantosFaltamDeAcordoComOsDadosDoCadUnicoEIBGE,"Quantos faltam, de acordo com os dados do CadUnico e IBGE",2,2020.7-55.541,Situação de Assistência Social do Municipio,INTEGER
grupoGestorConstituido,Grupo Gestor constituído,false,2020.7-55.541,Situação de Assistência Social do Municipio,BOOLEAN
possuiVeiculoParaRealizacaoDasAtividades,Possui veículo para realização das atividades,true,2020.7-55.541,Situação de Assistência Social do Municipio,BOOLEAN
realizouCapacitacoesComRecursosPropriosNos2UltimosAnos,Realizou capacitações com recursos próprios nos 2 últimos anos,true,2020.7-55.541,Situação de Assistência Social do Municipio,BOOLEAN
existeSetorEspecifico,Existe setor específico,true,2020.7-55.541,Situação de Assistência Social do Municipio,BOOLEAN
bPCNaEscola,BPC na Escola,Renovação,2020.7-55.541,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,65110000,2020.7-55.540,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.540,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.540,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,65110-000,2020.7-55.539,Situação de Assistência Social do Municipio,STRING
city,Cidade,São José de Ribamar,2020.7-55.539,Situação de Assistência Social do Municipio,STRING
state,Estado,MA,2020.7-55.539,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,01154-000,2020.7-55.538,Situação de Assistência Social do Municipio,STRING
street,Logradouro,Av. Gen. Olímpio da Silveira,2020.7-55.538,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,Santa Cecilia,2020.7-55.538,Situação de Assistência Social do Municipio,STRING
city,Cidade,São Paulo,2020.7-55.538,Situação de Assistência Social do Municipio,STRING
state,Estado,SP,2020.7-55.538,Situação de Assistência Social do Municipio,STRING
existeSetorEspecifico,Existe setor específico,true,2020.7-55.538,Situação de Assistência Social do Municipio,BOOLEAN
qualALocalizacao,Qual a localização,CRAS,2020.7-55.538,Situação de Assistência Social do Municipio,STRING
tipoDeGestaoEConcessaoDosBeneficios,Tipo de gestão e concessão dos Benefícios,compartilhada,2020.7-55.538,Situação de Assistência Social do Municipio,STRING
bPCNaEscola,BPC na Escola,Adesão,2020.7-55.538,Situação de Assistência Social do Municipio,STRING
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoIdosos,Quantidade de Usuários do BPC inscritos no CadÚnico Idosos,132,2020.7-55.538,Situação de Assistência Social do Municipio,INTEGER
quantidadeDeUsuariosDoBPCInscritosNoCadUnicoPCD,Quantidade de Usuários do BPC inscritos no CadÚnico PCD,4654,2020.7-55.538,Situação de Assistência Social do Municipio,INTEGER
quantosFaltamDeAcordoComOsDadosDoCadUnicoEIBGE,"Quantos faltam, de acordo com os dados do CadUnico e IBGE",999,2020.7-55.538,Situação de Assistência Social do Municipio,INTEGER
zipcode,CEP,01154-000,2020.7-55.537,Situação de Assistência Social do Municipio,STRING
street,Logradouro,Av. Gen. Olímpio da Silveira,2020.7-55.537,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,Santa Cecilia,2020.7-55.537,Situação de Assistência Social do Municipio,STRING
city,Cidade,São Paulo,2020.7-55.537,Situação de Assistência Social do Municipio,STRING
state,Estado,SP,2020.7-55.537,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-55.537,Situação de Assistência Social do Municipio,BOOLEAN
possuiEspacoFisicoAdequado,Possui espaço Físico Adequado,true,2020.7-55.537,Situação de Assistência Social do Municipio,BOOLEAN
qualALocalizacao,Qual a localização,Outro,2020.7-55.537,Situação de Assistência Social do Municipio,STRING
tipoDeGestaoEConcessaoDosBeneficios,Tipo de gestão e concessão dos Benefícios,exclusiva do setor,2020.7-55.537,Situação de Assistência Social do Municipio,STRING
bPCNaEscola,BPC na Escola,Adesão,2020.7-55.537,Situação de Assistência Social do Municipio,STRING
zipcode,CEP,01154-000,2020.7-55.536,Situação de Assistência Social do Municipio,STRING
street,Logradouro,Av. Gen. Olímpio da Silveira,2020.7-55.536,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,Santa Cecilia,2020.7-55.536,Situação de Assistência Social do Municipio,STRING
city,Cidade,São Paulo,2020.7-55.536,Situação de Assistência Social do Municipio,STRING
state,Estado,SP,2020.7-55.536,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
possuiEspacoFisicoAdequado,Possui espaço Físico Adequado,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
possuiRecursosHumanosSuficientesConformeNOBRH,Possui Recursos Humanos suficientes conforme NOB/RH,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
possuiPlanoMunicipalDeAssistenciaSocial,Possui Plano Municipal de Assistência Social,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
possuiDiagnosticoSocioTerritorial,Possui Diagnóstico Sócio territorial,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
possuiPlanoMunicipalDeEducacaoPermanenteDoSUAS,Possui Plano Municipal de Educação Permanente do SUAS,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
realizouCapacitacoesComRecursosPropriosNos2UltimosAnos,Realizou capacitações com recursos próprios nos 2 últimos anos,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
atuouEmTematicasPrevistasNoPlanoMunicipalDeEducacaoPermanenteDoSUAS,Atuou em temáticas previstas no Plano Municipal de Educação Permanente do SUAS,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
participouDeCapacitacoesRealizadasPelaSEDESNosUltimos2Anos,Participou de capacitações realizadas pela SEDES nos últimos 2 anos,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
grupoGestorConstituido,Grupo Gestor constituído,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
coFinanciamentoEstadual,Co-financiamento Estadual,true,2020.7-55.536,Situação de Assistência Social do Municipio,BOOLEAN
zipcode,CEP,01154-000,2020.7-535.55,Situação de Assistência Social do Municipio,STRING
street,Logradouro,Av. Gen. Olímpio da Silveira,2020.7-535.55,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,Santa Cecilia,2020.7-535.55,Situação de Assistência Social do Municipio,STRING
city,Cidade,São Paulo,2020.7-535.55,Situação de Assistência Social do Municipio,STRING
state,Estado,SP,2020.7-535.55,Situação de Assistência Social do Municipio,STRING
possuiEstruturacaoDaSMASComAreasEssenciais,Possui estruturação da SMAS com áreas essenciais:,true,2020.7-535.55,Situação de Assistência Social do Municipio,BOOLEAN
zipcode,CEP,01154-000,2020.7-534.55,Situação de Assistência Social do Municipio,STRING
street,Logradouro,Av. Gen. Olímpio da Silveira,2020.7-534.55,Situação de Assistência Social do Municipio,STRING
neighborhood,Bairro,Santa Cecilia,2020.7-534.55,Situação de Assistência Social do Municipio,STRING
city,Cidade,São Paulo,2020.7-534.55,Situação de Assistência Social do Municipio,STRING
state,Estado,SP,2020.7-534.55,Situação de Assistência Social do Municipio,STRING
name,Nome,Livia,2020.7-533.32,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Xavier,2020.7-533.32,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.7-533.32,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-533.32,Poda / Corte de Árvore,STRING
name,Nome,Livia,2020.7-532.32,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Xavier,2020.7-532.32,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.7-532.32,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-532.32,Poda / Corte de Árvore,STRING
name,Nome,Livia,2020.7-529.32,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Xavier,2020.7-529.32,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.7-529.32,Poda / Corte de Árvore,STRING
phone,Telefone,11 9 8696 5896,2020.7-529.32,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-529.32,Poda / Corte de Árvore,STRING
name,Nome,Livia,2020.7-528.32,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Xavier,2020.7-528.32,Poda / Corte de Árvore,STRING
cpf,CPF,111.111.111-11,2020.7-528.32,Poda / Corte de Árvore,STRING
email,Email,livia.xavier@alpar.com.br,2020.7-528.32,Poda / Corte de Árvore,STRING
name,Nome,Livia,2020.7-527.32,Poda / Corte de Árvore,STRING
lastname,Sobrenome,Xavier,2020.7-527.32,Poda / Corte de Árvore,STRING
